000040,宝安地产
000042,中洲控股
000043,中航地产
000045,深纺织Ａ
000046,泛海建设
000048,康达尔  
000049,德赛电池
000050,深天马Ａ
000055,方大集团
000056,深国商  
000058,深 赛 格
000059,华锦股份
000060,中金岭南
000061,农 产 品
000062,深圳华强
000063,中兴通讯
000065,北方国际
000066,长城电脑
000068,华控赛格
000069,华侨城Ａ
000070,特发信息
000078,海王生物
000088,盐 田 港
000089,深圳机场
000090,天健集团
000096,广聚能源
000099,中信海直
000100,TCL 集团
000150,宜华地产
000151,中成股份
000153,丰原药业
000155,川化股份
000156,华数传媒
000157,中联重科
000158,常山股份
000159,国际实业
000301,东方市场
000333,美的集团
000338,潍柴动力
000400,许继电气
000401,冀东水泥
000402,金 融 街
000403,*ST生化 
000404,华意压缩
000407,胜利股份
000408,金谷源  
000409,山东地矿
000410,沈阳机床
000411,英特集团
000413,东旭光电
000415,渤海租赁
000416,民生控股
000417,合肥百货
000418,小天鹅Ａ
000419,通程控股
000420,吉林化纤
000421,南京中北
000422,湖北宜化
000423,东阿阿胶
000425,徐工机械
000426,兴业矿业
000428,华天酒店
000429,粤高速Ａ
000430,张家界  
000488,晨鸣纸业
000498,山东路桥
000501,鄂武商Ａ
000502,绿景控股
000503,海虹控股
000504,*ST传媒 
000505,珠江控股
000506,中润资源
000507,珠海港  
000509,*ST华塑 
000510,金路集团
000511,烯碳新材
000513,丽珠集团
000514,渝 开 发
000516,开元投资
000517,荣安地产
000518,四环生物
000519,江南红箭
000520,*ST凤凰 
000521,美菱电器
000523,广州浪奇
000524,东方宾馆
000525,红 太 阳
000526,银润投资
000528,柳    工
000529,广弘控股
000530,大冷股份
000531,穗恒运Ａ
000532,力合股份
000533,万 家 乐
000534,万泽股份
000536,华映科技
000537,广宇发展
000538,云南白药
000539,粤电力Ａ
000540,中天城投
000541,佛山照明
000543,皖能电力
000544,中原环保
000545,金浦钛业
000546,光华控股
000547,闽福发Ａ
000548,湖南投资
000550,江铃汽车
000551,创元科技
000552,靖远煤电
000553,沙隆达Ａ
000554,泰山石油
000555,神州信息
000557,*ST广夏 
000558,莱茵置业
000559,万向钱潮
000560,昆百大Ａ
000561,烽火电子
000562,宏源证券
000563,陕国投Ａ
000564,西安民生
000565,渝三峡Ａ
000566,海南海药
000567,海德股份
000568,泸州老窖
000570,苏常柴Ａ
000571,新大洲Ａ
000572,海马汽车
000573,粤宏远Ａ
000576,广东甘化
000581,威孚高科
000582,北部湾港
000584,友利控股
000585,东北电气
000586,汇源通信
000587,金叶珠宝
000589,黔轮胎Ａ
000590,紫光古汉
000591,桐 君 阁
000592,中福实业
000593,大通燃气
000594,*ST国恒 
000595,西北轴承
000596,古井贡酒
000597,东北制药
000598,兴蓉投资
000599,青岛双星
000600,建投能源
000601,韶能股份
000603,盛达矿业
000605,渤海股份
000606,青海明胶
000607,华智控股
000608,阳光股份
000609,绵世股份
000610,西安旅游
000611,四海股份
000612,焦作万方
000613,大东海A 
000615,湖北金环
000616,亿城投资
000617,*ST济柴 
000619,海螺型材
000620,新华联  
000622,恒立实业
000623,吉林敖东
000625,长安汽车
000626,如意集团
000627,天茂集团
000628,高新发展
000629,攀钢钒钛
000630,铜陵有色
000631,顺发恒业
000632,三木集团
000633,合金投资
000635,英 力 特
000636,风华高科
000637,茂化实华
000638,万方发展
000639,西王食品
000650,仁和药业
000651,格力电器
000652,泰达股份
000655,金岭矿业
000656,金科股份
000657,中钨高新
000659,珠海中富
000661,长春高新
000662,索芙特  
000663,永安林业
000665,湖北广电
000666,经纬纺机
000667,美好集团
000668,荣丰控股
000669,金鸿能源
000670,S舜元   
000671,阳 光 城
000672,上峰水泥
000673,当代东方
000676,*ST思达 
000677,恒天海龙
000678,襄阳轴承
000679,大连友谊
000680,山推股份
000681,远东股份
000682,东方电子
000683,远兴能源
000685,中山公用
000686,东北证券
000687,恒天天鹅
000688,建新矿业
000690,宝新能源
000691,亚太实业
000692,惠天热电
000693,华泽钴镍
000695,滨海能源
000697,炼石有色
000698,沈阳化工
000700,模塑科技
000701,厦门信达
000702,正虹科技
000703,恒逸石化
000705,浙江震元
000707,双环科技
000708,大冶特钢
000709,河北钢铁
000710,天兴仪表
000711,天伦置业
000712,锦龙股份
000713,丰乐种业
000715,中兴商业
000716,南方食品
000717,韶钢松山
000718,苏宁环球
000719,大地传媒
000720,新能泰山
000721,西安饮食
000722,湖南发展
000723,美锦能源
000725,京东方Ａ
000726,鲁  泰Ａ
000727,华东科技
000728,国元证券
000729,燕京啤酒
000731,四川美丰
000732,泰禾集团
000733,振华科技
000735,罗 牛 山
000736,中房地产
000737,南风化工
000738,中航动控
000739,普洛药业
000748,长城信息
000750,国海证券
000752,西藏发展
000753,漳州发展
000755,*ST三维 
000756,新华制药
000757,浩物股份
